query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
卡丁車,False,710,GORILLA KART OKINAWA 卡丁車體驗｜日本沖繩｜附免費影片＆照片,151107,97,10.11,高雄鈴鹿賽道樂園｜一日無限暢遊券・卡丁車體驗,114876,6,14.07
京成,False,704,【機場市區交通】京成 Skyliner（單程）,7913,66,82.87,,,,
后里,False,698,台中后里｜天馬幻夢大馬戲門票,174276,89,63.49,台中自行車后豐鐵馬道體驗｜捷安特自行車租借可加購・后里馬場馬術騎乘體驗・戶外賽車・漆彈,266437,2,41.67
哈利,False,692,東京哈利波特製片廠之旅門票,144383,175,79.21,東京《哈利·波特與被詛咒的孩子》門票,182431,28,22.22
美麗,False,691,沖繩 Fun Pass｜美麗海水族館＋任選組合優惠套票｜Okinawa FunPass,285076,22,45.45,,,,
美福,False,690,台北美福大飯店｜彩匯餐廳｜自助餐,547741,36,70.21,,,,
合掌,False,690,黑部立山三日遊｜立山黑部阿爾卑斯山路線雪牆＆上高地＆白川鄉合掌村＆高山&金澤兼六園｜名古屋出發（含立山黑部六種交通工具票券）,158778,615,15.09,【1人成團】日本白川鄉合掌村一日遊｜可選直達展望台＋飛驒高山老街巡禮｜名古屋出發,526215,78,55.17
Har,False,680,關西機場特快 HARUKA 車票,18940,1,66.67,,,,
kddi,False,667,KDDI 5G 高速原生日本eSIM｜支援ChatGPT,243815,62,58.2,日本eSIM卡  Docomo(IIJ)原生資源 每日高速/無限流量方案,163496,5,10.0
統一,False,663,即買即用｜7-ELEVEN 數位商品禮券｜統一集團通用,133559,103,68.99,,,,
busan pass,False,661,釜山通行證 VISIT BUSAN PASS,138477,257,58.25,,,,
奧克蘭,False,659,紐西蘭魔戒景點一日遊｜哈比村＆懷托摩藍光螢火蟲洞｜奧克蘭出發,12113,76,17.97,,,,
利木,False,653,日本關西機場 (KIX) 至京都、大阪市區｜利木津巴士車票,4835,22,52.63,東京利木津巴士｜羽田機場 (HND)・成田機場 (NRT) 至東京市區・迪士尼｜接送車票,18551,12,47.83
t money,False,650,【韓國自由行必備】T-money Card 交通卡(桃園機場取件),18161,10,37.11,,,,
超快取,False,646,【指定商品6折】日本SIM卡即訂即取｜吃到飽/每日/總量方案｜台灣速寄・桃園機場・7-ELEVEN 超快取,155237,15,43.4,【指定商品7折】韓國SIM卡即訂即取｜插卡即用 免實名｜台灣速寄・桃園機場領取・7-ELEVEN 超快取｜熱點分享,156432,3,16.0
國旅,False,645,【國旅卡適用】台北凱撒大飯店｜Checkers｜自助餐,24223,22,10.81,【國旅卡適用】台北喜來登大飯店｜十二廚｜自助餐,34984,8,11.11
