query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
Esi,False,672,【超人氣熱銷 50% OFF】中港澳5G/4G eSIM｜每日流量/總量/無限流量 eSIM｜免翻牆使用｜支援ChatGPT,135627,3,100.0,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004.0,0.0,11.11
X park,False,671,桃園Xpark水族館門票,101517,78,87.02,金廈小三通｜台灣機票＆機場碼頭接駁＆小三通船票｜台北/台中/高雄出發,143059.0,0.0,0.0
美麗,False,663,沖繩 Fun Pass｜美麗海水族館＋任選組合優惠套票｜Okinawa FunPass,285076,12,33.33,沖繩美麗海水族館門票,18680.0,0.0,85.71
伯斯,False,663,伯斯近郊一日遊 | 波浪岩、約克小鎮、忠犬公墓、河馬哈欠岩、原住民洞穴、澳式BBQ (中文導覽),167002,71,11.19,西澳伯斯二日遊｜【秘境觀星】粉紅湖赫特潟湖+尖峰石陣＋白沙漠【11人以下小團】,248750.0,0.0,21.98
ktx,False,655,首爾 -釜山KTX 火車票,536336,34,57.66,釜山專車接送：金海機場(PUS)、釜山KTX車站 ↔ 釜山市區,18410.0,0.0,1.61
熊野古道,False,654,『關西小眾秘境二日遊』熊野古道二日朝聖之路 | 雙朝認證＆柯南景點踏尋,544187,34,25.69,『關西小眾秘境一日遊』熊野古道熊野三山一日巡遊 大阪出發,533821.0,24.0,26.92
自由行,False,649,樂桃航空・桃園出發｜沖繩機加酒自由行 4 日・自選市區飯店｜1 人成行・早去晚回( MM922＋MM929),140939,258,7.69,釜山通行證 VISIT BUSAN PASS,138477.0,0.0,3.85
合掌,False,643,【1人成團】日本白川鄉合掌村一日遊｜可選直達展望台＋飛驒高山老街巡禮｜名古屋出發,526215,78,48.21,名古屋一日遊｜白川鄉合掌村＆飛驒高山老街,17716.0,21.0,19.05
busan pass,False,637,釜山通行證 VISIT BUSAN PASS,138477,237,61.74,免費領取 新世界免稅店Gold Pass折扣卡 (明洞店&釜山店）,531191.0,0.0,4.79
蘭陽動植物,False,637,宜蘭蘭陽動植物王国門票,173190,80,79.49,—,,,
衝浪,False,631,宜蘭外澳雙獅衝浪｜新手教學課程、租板,22343,9,31.73,衝浪體驗初階、進階教學｜宜蘭烏石港｜藍洋衝浪,38707.0,1.0,38.1
利木,False,622,日本關西機場 (KIX) 至京都、大阪市區｜利木津巴士車票,4835,23,51.92,日本沖繩｜利木津機場巴士客運｜那霸機場至沖繩飯店,23989.0,0.0,0.0
足利花卉公園,True,620,【含 1 人成團方案】日立海濱公園粉蝶花海＆足利花卉公園紫藤花隧道賞花一日遊｜東京銀座出發,155292,73,19.77,【提前購買最高可折抵 ¥200】足利花卉公園門票（栃木・足利）,132105.0,33.0,38.61
追風,False,617,追風奇幻島門票,569514,35,84.66,—,,,
科博館,False,617,台中科博館｜國立自然科學博物館門票,115117,11,67.05,屏菸 1936 文化基地｜屏東縣立美術館,132556.0,0.0,1.03
計畫,False,612,真航空・桃園出發｜首爾/釜山/濟州 計畫機票｜1人成行・含行李,146962,9,12.24,酷航・桃園仁川｜首爾 5天計畫機票｜1 人成行・含行李,154003.0,0.0,16.88
漢江,False,612,[首爾]  Golden Blue Marina 豪華遊艇體驗｜漢江遊艇,183049,9,19.51,首爾汝矣島漢江公園衣戀遊輪 Eland Cruise｜夕陽、夜景、晚餐遊船體驗,2764.0,6.0,56.25
